statistic_yyy,site_id,people_total,area,population_density
統計年,區域別,年底人口數,土地面積,人口密度
110,新北市板橋區,552713,23.1373,23888
110,新北市三重區,381731,16.317,23395
110,新北市中和區,406140,20.144,20162
110,新北市永和區,214967,5.7138,37622
110,新北市新莊區,421381,19.7383,21348
110,新北市新店區,299696,120.2255,2493
110,新北市樹林區,181903,33.1288,5491
110,新北市鶯歌區,88131,21.1248,4172
110,新北市三峽區,116019,191.4508,606
110,新北市淡水區,185197,70.6565,2621
110,新北市汐止區,205990,71.2354,2892
110,新北市瑞芳區,38449,70.7336,544
110,新北市土城區,237484,29.5578,8035
110,新北市蘆洲區,201489,7.4351,27100
110,新北市五股區,90465,34.8632,2595
110,新北市泰山區,77451,19.1603,4042
110,新北市林口區,124628,54.1519,2301
110,新北市深坑區,23646,20.5787,1149
110,新北市石碇區,7487,144.3498,52
110,新北市坪林區,6619,170.835,39
110,新北市三芝區,22357,65.9909,339
110,新北市石門區,11193,51.2645,218
110,新北市八里區,40178,39.4933,1017
110,新北市平溪區,4333,71.3382,61
110,新北市雙溪區,8235,146.2484,56
110,新北市貢寮區,11534,99.9734,115
110,新北市金山區,20844,49.2132,424
110,新北市萬里區,21462,63.3766,339
110,新北市烏來區,6391,321.1306,20
110,臺北市松山區,193388,9.2878,20822
110,臺北市信義區,207500,11.2077,18514
110,臺北市大安區,291410,11.3614,25649
110,臺北市中山區,215567,13.6821,15755
110,臺北市中正區,150644,7.6071,19803
110,臺北市大同區,120772,5.6815,21257
110,臺北市萬華區,176617,8.8522,19952
110,臺北市文山區,261576,31.509,8302
110,臺北市南港區,115780,21.8424,5301
110,臺北市內湖區,276707,31.5787,8762
110,臺北市士林區,269682,62.3682,4324
110,臺北市北投區,244750,56.8216,4307
110,桃園市桃園區,458847,34.8046,13184
110,桃園市中壢區,422529,76.52,5522
110,桃園市大溪區,94870,105.1206,902
110,桃園市楊梅區,176757,89.1229,1983
110,桃園市蘆竹區,166394,75.5025,2204
110,桃園市大園區,92172,87.3925,1055
110,桃園市龜山區,166767,72.0177,2316
110,桃園市八德區,209665,33.7111,6219
110,桃園市龍潭區,124442,75.2341,1654
110,桃園市平鎮區,228203,47.7532,4779
110,桃園市新屋區,49094,85.0166,577
110,桃園市觀音區,69995,87.9807,796
110,桃園市復興區,12656,350.7775,36
110,臺中市中區,17689,0.8803,20094
110,臺中市東區,75588,9.2855,8140
110,臺中市南區,126008,6.8101,18503
110,臺中市西區,112740,5.7042,19764
110,臺中市北區,143917,6.9376,20744
110,臺中市西屯區,230888,39.8467,5794
110,臺中市南屯區,176782,31.2578,5656
110,臺中市北屯區,290653,62.7034,4635
110,臺中市豐原區,164726,41.1845,4000
110,臺中市東勢區,48333,117.4065,412
110,臺中市大甲區,75516,58.5192,1290
110,臺中市清水區,88366,64.1709,1377
110,臺中市沙鹿區,96039,40.4604,2374
110,臺中市梧棲區,59517,16.6049,3584
110,臺中市后里區,53961,58.9439,915
110,臺中市神岡區,64841,35.0445,1850
110,臺中市潭子區,109270,25.8497,4227
110,臺中市大雅區,95521,32.4109,2947
110,臺中市新社區,23650,68.8874,343
110,臺中市石岡區,14419,18.2105,792
110,臺中市外埔區,31564,42.4099,744
110,臺中市大安區,18485,27.4045,675
110,臺中市烏日區,77245,43.4032,1780
110,臺中市大肚區,56458,37.0024,1526
110,臺中市龍井區,77976,38.0377,2050
110,臺中市霧峰區,64602,98.0779,659
110,臺中市太平區,195613,120.7473,1620
110,臺中市大里區,212253,28.8758,7351
110,臺中市和平區,10870,1037.8192,10
110,臺南市新營區,75506,38.5386,1959
110,臺南市鹽水區,24777,52.2455,474
110,臺南市白河區,26693,126.4046,211
110,臺南市柳營區,20618,61.2929,336
110,臺南市後壁區,22322,72.2189,309
110,臺南市東山區,19788,124.9178,158
110,臺南市麻豆區,43373,53.9744,804
110,臺南市下營區,23062,33.5291,688
110,臺南市六甲區,21488,67.5471,318
110,臺南市官田區,21035,70.7953,297
110,臺南市大內區,9048,70.3125,129
110,臺南市佳里區,58482,38.9422,1502
110,臺南市學甲區,24981,53.9919,463
110,臺南市西港區,24495,33.7666,725
110,臺南市七股區,21757,110.1492,198
110,臺南市將軍區,18843,41.9796,449
110,臺南市北門區,10397,44.1003,236
110,臺南市新化區,42809,62.0579,690
110,臺南市善化區,51265,55.3097,927
110,臺南市新市區,37546,47.8096,785
110,臺南市安定區,30105,31.27,963
110,臺南市山上區,6996,27.878,251
110,臺南市玉井區,13342,76.3662,175
110,臺南市楠西區,9031,109.6316,82
110,臺南市南化區,8264,171.5198,48
110,臺南市左鎮區,4428,74.9025,59
110,臺南市仁德區,76497,50.7664,1507
110,臺南市歸仁區,68001,55.7913,1219
110,臺南市關廟區,33860,53.6413,631
110,臺南市龍崎區,3668,64.0814,57
110,臺南市永康區,234624,40.2753,5826
110,臺南市東區,182489,13.4156,13603
110,臺南市南區,122345,27.2681,4487
110,臺南市北區,127913,10.434,12259
110,臺南市安南區,197061,107.2016,1838
110,臺南市安平區,67446,11.0663,6095
110,臺南市中西區,77704,6.26,12413
110,高雄市鹽埕區,22912,1.4161,16180
110,高雄市鼓山區,140410,14.7523,9518
110,高雄市左營區,196314,19.3823,10129
110,高雄市楠梓區,190149,25.8276,7362
110,高雄市三民區,333038,19.7866,16831
110,高雄市新興區,49383,1.9764,24986
110,高雄市前金區,26416,1.8573,14223
110,高雄市苓雅區,164572,8.1522,20187
110,高雄市前鎮區,182805,19.1207,9561
110,高雄市旗津區,27204,1.4639,18583
110,高雄市小港區,156035,45.4426,3434
110,高雄市鳳山區,357946,26.759,13377
110,高雄市林園區,68893,32.286,2134
110,高雄市大寮區,111933,71.04,1576
110,高雄市大樹區,41257,66.9811,616
110,高雄市大社區,34050,26.5848,1281
110,高雄市仁武區,93581,36.0808,2594
110,高雄市鳥松區,44393,24.5927,1805
110,高雄市岡山區,95922,47.9421,2001
110,高雄市橋頭區,40094,25.9379,1546
110,高雄市燕巢區,29244,65.395,447
110,高雄市田寮區,6788,92.6802,73
110,高雄市阿蓮區,28011,34.6164,809
110,高雄市路竹區,51217,48.4348,1057
110,高雄市湖內區,29648,20.1615,1471
110,高雄市茄萣區,29812,15.7624,1891
110,高雄市永安區,13618,22.6141,602
110,高雄市彌陀區,18627,14.7772,1261
110,高雄市梓官區,35117,11.5967,3028
110,高雄市旗山區,35162,94.6122,372
110,高雄市美濃區,37949,120.0316,316
110,高雄市六龜區,12135,194.1584,63
110,高雄市甲仙區,5788,124.034,47
110,高雄市杉林區,11288,104.0036,109
110,高雄市內門區,13770,95.6224,144
110,高雄市茂林區,1874,194,10
110,高雄市桃源區,4193,928.98,5
110,高雄市那瑪夏區,3143,252.9895,12
110,宜蘭縣宜蘭市,94869,29.408,3226
110,宜蘭縣羅東鎮,70732,11.3448,6235
110,宜蘭縣蘇澳鎮,38272,89.0196,430
110,宜蘭縣頭城鎮,28544,100.893,283
110,宜蘭縣礁溪鄉,35057,101.4278,346
110,宜蘭縣壯圍鄉,24391,38.4769,634
110,宜蘭縣員山鄉,32056,111.9106,286
110,宜蘭縣冬山鄉,52928,79.8573,663
110,宜蘭縣五結鄉,40539,38.8671,1043
110,宜蘭縣三星鄉,21206,144.2238,147
110,宜蘭縣大同鄉,6088,657.5442,9
110,宜蘭縣南澳鄉,6010,740.652,8
110,新竹縣竹北市,206189,46.8341,4403
110,新竹縣關西鎮,27377,125.5193,218
110,新竹縣新埔鎮,32975,72.1911,457
110,新竹縣竹東鎮,96590,53.5133,1805
110,新竹縣湖口鄉,79602,58.4303,1362
110,新竹縣橫山鄉,12343,66.3502,186
110,新竹縣新豐鄉,57908,46.3496,1249
110,新竹縣芎林鄉,19936,40.7858,489
110,新竹縣寶山鄉,14504,64.7871,224
110,新竹縣北埔鄉,8797,50.6676,174
110,新竹縣峨眉鄉,5309,46.801,113
110,新竹縣尖石鄉,9577,527.5795,18
110,新竹縣五峰鄉,4473,227.728,20
110,苗栗縣苗栗市,86939,37.8878,2295
110,苗栗縣頭份市,105084,53.3205,1971
110,苗栗縣苑裡鎮,44256,68.2473,648
110,苗栗縣通霄鎮,32441,107.8486,301
110,苗栗縣竹南鎮,87365,37.5592,2326
110,苗栗縣後龍鎮,34694,75.8079,458
110,苗栗縣卓蘭鎮,15866,76.3153,208
110,苗栗縣大湖鄉,13530,90.8396,149
110,苗栗縣公館鄉,31867,71.4523,446
110,苗栗縣銅鑼鄉,16871,78.3805,215
110,苗栗縣南庄鄉,9328,165.4938,56
110,苗栗縣頭屋鄉,10026,52.5046,191
110,苗栗縣三義鄉,15388,69.3424,222
110,苗栗縣西湖鄉,6558,41.0758,160
110,苗栗縣造橋鄉,11956,47.9978,249
110,苗栗縣三灣鄉,6201,52.2964,119
110,苗栗縣獅潭鄉,4117,79.4324,52
110,苗栗縣泰安鄉,5691,614.5127,9
110,彰化縣彰化市,228470,65.6947,3478
110,彰化縣員林市,122757,40.038,3066
110,彰化縣鹿港鎮,85837,39.4625,2175
110,彰化縣和美鎮,89558,39.9345,2243
110,彰化縣北斗鎮,33303,19.2547,1730
110,彰化縣溪湖鎮,54340,32.0592,1695
110,彰化縣田中鎮,40123,34.6056,1159
110,彰化縣二林鎮,49082,92.8478,529
110,彰化縣線西鄉,16486,18.0856,912
110,彰化縣伸港鄉,37838,22.3268,1695
110,彰化縣福興鄉,45956,49.8934,921
110,彰化縣秀水鄉,38633,29.3447,1317
110,彰化縣花壇鄉,44795,36.3469,1232
110,彰化縣芬園鄉,22827,38.0204,600
110,彰化縣大村鄉,39835,30.7837,1294
110,彰化縣埔鹽鄉,31682,38.6081,821
110,彰化縣埔心鄉,34037,20.9526,1624
110,彰化縣永靖鄉,35879,20.6382,1738
110,彰化縣社頭鄉,42026,36.1449,1163
110,彰化縣二水鄉,14377,29.4449,488
110,彰化縣田尾鄉,26407,24.0375,1099
110,彰化縣埤頭鄉,29706,42.7508,695
110,彰化縣芳苑鄉,32110,91.3827,351
110,彰化縣大城鄉,15733,63.7406,247
110,彰化縣竹塘鄉,14584,42.1662,346
110,彰化縣溪州鄉,28949,75.831,382
110,南投縣南投市,98244,71.6021,1372
110,南投縣埔里鎮,78107,162.2227,481
110,南投縣草屯鎮,96923,104.0327,932
110,南投縣竹山鎮,52629,247.3339,213
110,南投縣集集鎮,10227,49.7268,206
110,南投縣名間鄉,36925,83.0955,444
110,南投縣鹿谷鄉,16850,141.8981,119
110,南投縣中寮鄉,14013,146.6541,96
110,南投縣魚池鄉,15162,121.3735,125
110,南投縣國姓鄉,17557,175.7042,100
110,南投縣水里鄉,16665,106.8424,156
110,南投縣信義鄉,15785,1422.4188,11
110,南投縣仁愛鄉,15810,1273.5312,12
110,雲林縣斗六市,108100,93.7151,1153
110,雲林縣斗南鎮,43584,48.1505,905
110,雲林縣虎尾鎮,70648,68.742,1028
110,雲林縣西螺鎮,45029,49.7985,904
110,雲林縣土庫鎮,27938,49.0212,570
110,雲林縣北港鎮,38437,41.4999,926
110,雲林縣古坑鄉,30438,166.6059,183
110,雲林縣大埤鄉,18451,44.9973,410
110,雲林縣莿桐鄉,27970,50.8502,550
110,雲林縣林內鄉,17131,37.6035,456
110,雲林縣二崙鄉,25660,59.5625,431
110,雲林縣崙背鄉,23584,58.484,403
110,雲林縣麥寮鄉,48695,80.1668,607
110,雲林縣東勢鄉,13849,48.3562,286
110,雲林縣褒忠鄉,12279,37.0552,331
110,雲林縣臺西鄉,22558,54.0983,417
110,雲林縣元長鄉,24177,71.5872,338
110,雲林縣四湖鄉,21891,77.1189,284
110,雲林縣口湖鄉,25976,80.4612,323
110,雲林縣水林鄉,23737,72.9582,325
110,嘉義縣太保市,38571,66.8964,577
110,嘉義縣朴子市,41256,49.5737,832
110,嘉義縣布袋鎮,25521,61.7307,413
110,嘉義縣大林鎮,30068,64.1663,469
110,嘉義縣民雄鄉,70675,85.4969,827
110,嘉義縣溪口鄉,13761,33.0463,416
110,嘉義縣新港鄉,30705,66.0495,465
110,嘉義縣六腳鄉,21774,62.2619,350
110,嘉義縣東石鄉,23464,81.5821,288
110,嘉義縣義竹鄉,17232,79.2925,217
110,嘉義縣鹿草鄉,14658,54.3151,270
110,嘉義縣水上鄉,48529,69.1198,702
110,嘉義縣中埔鄉,43602,129.5016,337
110,嘉義縣竹崎鄉,34190,162.2256,211
110,嘉義縣梅山鄉,18324,119.7571,153
110,嘉義縣番路鄉,11033,117.5269,94
110,嘉義縣大埔鄉,4533,173.2472,26
110,嘉義縣阿里山鄉,5420,427.8471,13
110,屏東縣屏東市,195862,65.067,3010
110,屏東縣潮州鎮,53546,42.4331,1262
110,屏東縣東港鎮,46268,29.4635,1570
110,屏東縣恆春鎮,30089,136.763,220
110,屏東縣萬丹鄉,49696,57.4679,865
110,屏東縣長治鄉,29337,39.8861,736
110,屏東縣麟洛鄉,10629,16.26,654
110,屏東縣九如鄉,21734,42.0187,517
110,屏東縣里港鄉,25696,68.9208,373
110,屏東縣鹽埔鄉,24586,64.3493,382
110,屏東縣高樹鄉,23439,90.1522,260
110,屏東縣萬巒鄉,19915,60.7315,328
110,屏東縣內埔鄉,52544,81.8554,642
110,屏東縣竹田鄉,16318,29.0732,561
110,屏東縣新埤鄉,9451,59.0102,160
110,屏東縣枋寮鄉,23246,57.7347,403
110,屏東縣新園鄉,33447,38.3109,873
110,屏東縣崁頂鄉,15272,31.2659,488
110,屏東縣林邊鄉,17023,15.6233,1090
110,屏東縣南州鄉,10133,18.97,534
110,屏東縣佳冬鄉,18321,30.9842,591
110,屏東縣琉球鄉,12104,6.8018,1780
110,屏東縣車城鄉,8181,49.8517,164
110,屏東縣滿州鄉,7353,142.2013,52
110,屏東縣枋山鄉,5150,17.2697,298
110,屏東縣三地門鄉,7711,196.3965,39
110,屏東縣霧臺鄉,3259,278.796,12
110,屏東縣瑪家鄉,6706,78.7008,85
110,屏東縣泰武鄉,5360,118.6266,45
110,屏東縣來義鄉,7397,167.7756,44
110,屏東縣春日鄉,4930,160.001,31
110,屏東縣獅子鄉,4888,301.0018,16
110,屏東縣牡丹鄉,4849,181.8366,27
110,臺東縣臺東市,103943,109.7691,947
110,臺東縣成功鎮,13330,143.9939,93
110,臺東縣關山鎮,8274,58.7351,141
110,臺東縣卑南鄉,16833,412.6871,41
110,臺東縣大武鄉,5635,69.1454,81
110,臺東縣太麻里鄉,10819,96.6523,112
110,臺東縣東河鄉,8106,210.1908,39
110,臺東縣長濱鄉,6791,155.1868,44
110,臺東縣鹿野鄉,7482,89.698,83
110,臺東縣池上鄉,7976,82.6854,96
110,臺東縣綠島鄉,4124,15.0919,273
110,臺東縣延平鄉,3591,455.8805,8
110,臺東縣海端鄉,4151,880.0382,5
110,臺東縣達仁鄉,3437,306.4454,11
110,臺東縣金峰鄉,3663,380.6635,10
110,臺東縣蘭嶼鄉,5231,48.3892,108
110,花蓮縣花蓮市,100955,29.4095,3433
110,花蓮縣鳳林鎮,10679,120.5181,89
110,花蓮縣玉里鎮,22878,252.3719,91
110,花蓮縣新城鄉,20252,29.4095,689
110,花蓮縣吉安鄉,83122,65.2582,1274
110,花蓮縣壽豐鄉,17351,218.4448,79
110,花蓮縣光復鄉,12185,157.11,78
110,花蓮縣豐濱鄉,4327,162.4332,27
110,花蓮縣瑞穗鄉,11123,135.5862,82
110,花蓮縣富里鄉,9812,176.3705,56
110,花蓮縣秀林鄉,16555,1641.8555,10
110,花蓮縣萬榮鄉,6152,618.491,10
110,花蓮縣卓溪鄉,5967,1021.313,6
110,澎湖縣馬公市,63289,33.9918,1862
110,澎湖縣湖西鄉,15447,33.3008,464
110,澎湖縣白沙鄉,9989,20.0875,497
110,澎湖縣西嶼鄉,8338,18.7148,446
110,澎湖縣望安鄉,5415,13.7824,393
110,澎湖縣七美鄉,3862,6.9868,553
110,基隆市中正區,50654,10.2118,4960
110,基隆市七堵區,53276,56.2659,947
110,基隆市暖暖區,38398,22.8283,1682
110,基隆市仁愛區,41842,4.2335,9884
110,基隆市中山區,45755,10.5238,4348
110,基隆市安樂區,81001,18.025,4494
110,基隆市信義區,53051,10.6706,4972
110,新竹市東區,221651,33.5768,6601
110,新竹市北區,152348,15.7267,9687
110,新竹市香山區,78641,54.8491,1434
110,嘉義市東區,118956,30.1556,3945
110,嘉義市西區,145771,29.87,4880
110,金門縣金城鎮,42845,21.713,1973
110,金門縣金湖鎮,30593,41.696,734
110,金門縣金沙鎮,20785,41.19,505
110,金門縣金寧鄉,33901,29.854,1136
110,金門縣烈嶼鄉,12743,16.003,796
110,金門縣烏坵鄉,672,1.2,560
110,連江縣南竿鄉,7657,10.4,736
110,連江縣北竿鄉,2998,9.9,303
110,連江縣莒光鄉,1496,4.7,318
110,連江縣東引鄉,1494,3.8,393
110,東沙群島,…,2.38,…
110,南沙群島,…,0.5045,…
,,,,
,說明：1.人口密度係指每單位土地面積內之人口數。,,,
,2.96年12月起，我國土地面積增列東沙群島(2.38平方公里)及南沙群島(0.4896平方公里),,,
,，由高雄市代管；原金門縣烏坵鄉面積，因重測由2.6平方公里修正為1.2平方公里。,,,
