country_ch,country_en,cases,deaths
美國,United States,"84,317,681","1,028,751"
印度,India,"43,181,335","524,701"
巴西,Brazil,"31,195,118","667,056"
法國,France,"29,647,790","148,722"
德國,Germany,"26,496,611","139,386"
英國,United Kingdom,"22,305,893","178,749"
俄羅斯,Russia,"18,355,200","379,584"
韓國,South Korea,"18,168,708","24,279"
義大利,Italy,"17,514,589","167,019"
土耳其,Turkey,"15,072,747","98,965"
西班牙,Spain,"12,403,245","106,797"
越南,Vietnam,"10,726,045","43,081"
阿根廷,Argentina,"9,276,618","128,973"
日本,Japan,"8,958,305","30,777"
荷蘭,Netherlands,"8,090,237","22,325"
澳洲,Australia,"7,444,436","8,771"
伊朗,Iran,"7,232,790","141,332"
哥倫比亞,Colombia,"6,109,105","139,867"
印尼,Indonesia,"6,057,142","156,622"
波蘭,Poland,"6,008,665","116,349"
墨西哥,Mexico,"5,791,282","325,017"
烏克蘭,Ukraine,"5,011,433","108,538"
葡萄牙,Portugal,"4,775,529","23,243"
馬來西亞,Malaysia,"4,516,319","35,690"
泰國,Thailand,"4,468,955","30,198"
奧地利,Austria,"4,269,277","18,674"
比利時,Belgium,"4,158,754","31,768"
以色列,Israel,"4,154,566","10,864"
南非,South Africa,"3,968,931","101,350"
捷克,Czech Republic,"3,921,125","40,293"
加拿大,Canada,"3,883,584","41,264"
智利,Chile,"3,756,220","57,991"
菲律賓,Philippines,"3,691,724","60,456"
瑞士,Switzerland,"3,674,982","13,342"
秘魯,Peru,"3,585,381","213,259"
希臘,Greece,"3,473,141","29,927"
丹麥,Denmark,"3,032,937","6,425"
羅馬尼亞,Romania,"2,910,766","65,693"
瑞典,Sweden,"2,509,366","19,014"
臺灣,Taiwan,"2,457,881","3,090"
伊拉克,Iraq,"2,328,787","25,221"
塞爾維亞,Serbia,"2,018,890","16,091"
孟加拉,Bangladesh,"1,953,700","29,131"
匈牙利,Hungary,"1,919,840","46,547"
斯洛伐克,Slovakia,"1,790,256","20,104"
約旦,Jordan,"1,694,216","14,048"
喬治亞,Georgia,"1,655,221","16,811"
愛爾蘭,Ireland,"1,565,970","7,347"
巴基斯坦,Pakistan,"1,530,762","30,379"
挪威,Norway,"1,434,896","3,172"
新加坡,Singapore,"1,321,146","1,393"
哈薩克,Kazakhstan,"1,305,788","13,662"
香港,Hong Kong,"1,215,696","9,386"
紐西蘭,New Zealand,"1,190,406","1,179"
摩洛哥,Morocco,"1,170,427","16,080"
保加利亞,Bulgaria,"1,166,148","37,182"
克羅埃西亞,Croatia,"1,138,076","16,003"
古巴,Cuba,"1,105,477","8,529"
芬蘭,Finland,"1,105,211","4,627"
黎巴嫩,Lebanon,"1,099,896","10,436"
立陶宛,Lithuania,"1,063,106","9,148"
突尼西亞,Tunisia,"1,042,872","28,641"
斯洛維尼亞,Slovenia,"1,026,368","6,642"
白俄羅斯,Belarus,"982,867","6,978"
尼泊爾,Nepal,"979,206","11,952"
烏拉圭,Uruguay,"925,777","7,238"
阿拉伯聯合大公國,UAE,"911,514","2,305"
玻利維亞,Bolivia,"910,228","21,949"
哥斯大黎加,Costa Rica,"904,934","8,525"
厄瓜多,Ecuador,"878,196","35,645"
巴拿馬,Panama,"875,486","8,276"
瓜地馬拉,Guatemala,"864,662","18,219"
拉脫維亞,Latvia,"829,425","5,830"
亞塞拜然,Azerbaijan,"792,785","9,713"
沙烏地阿拉伯,Saudi Arabia,"772,269","9,158"
斯里蘭卡,Sri Lanka,"663,884","16,518"
巴勒斯坦,Palestine,"657,705","5,660"
巴拉圭,Paraguay,"651,268","18,911"
科威特,Kuwait,"634,067","2,555"
緬甸,Myanmar,"613,387","19,434"
巴林,Bahrain,"589,809","1,488"
多明尼加,Dominican,"586,926","4,377"
愛沙尼亞,Estonia,"576,870","2,574"
委內瑞拉,Venezuela,"523,901","5,722"
摩爾多瓦,Moldova,"518,793","11,521"
埃及,Egypt,"515,645","24,613"
利比亞,Libya,"502,016","6,430"
賽普勒斯,Cyprus,"491,777","1,067"
衣索比亞,Ethiopia,"475,321","7,515"
蒙古,Mongolia,"470,859","2,110"
宏都拉斯,Honduras,"425,471","10,900"
亞美尼亞,Armenia,"423,006","8,629"
阿曼,Oman,"389,473","4,260"
波士尼亞與赫塞哥維納,Bosnia and Herzegovina,"377,998","15,791"
卡達,Qatar,"370,235",677
肯亞,Kenya,"325,634","5,651"
尚比亞,Zambia,"322,207","3,988"
北馬其頓,North Macedonia,"312,292","9,309"
波札那,Botswana,"308,126","2,697"
阿爾巴尼亞,Albania,"276,415","3,497"
阿爾及利亞,Algeria,"265,900","6,875"
奈及利亞,Nigeria,"256,148","3,143"
辛巴威,Zimbabwe,"253,508","5,513"
盧森堡,Luxembourg,"244,182","1,073"
烏茲別克,Uzbekistan,"239,123","1,637"
蒙特內哥羅,Montenegro,"237,563","2,720"
科索沃,Kosovo,"228,397","3,139"
模里西斯,Mauritius,"226,851",996
莫三比克,Mozambique,"225,984","2,204"
中國大陸,China,"224,402","5,226"
寮國,Laos,"210,083",756
吉爾吉斯,Kyrgyzstan,"200,993","2,991"
冰島,Iceland,"188,924",153
阿富汗,Afghanistan,"180,615","7,708"
馬爾地夫,Maldives,"179,837",299
納米比亞,Namibia,"167,565","4,040"
烏干達,Uganda,"165,700","3,600"
薩爾瓦多,El Salvador,"163,735","4,133"
千里達及托巴哥,Trinidad and Tobago,"162,945","3,943"
迦納,Ghana,"161,795","1,445"
汶萊,Brunei,"150,781",223
牙買加,Jamaica,"138,110","3,069"
柬埔寨,Cambodia,"136,262","3,056"
盧安達,Rwanda,"130,180","1,459"
喀麥隆,Cameroon,"119,947","1,930"
安哥拉,Angola,"99,194","1,900"
馬爾他,Malta,"95,272",723
剛果民主共和國,DR Congo,"89,189","1,338"
塞內加爾,Senegal,"86,137","1,967"
馬拉威,Malawi,"86,022","2,642"
象牙海岸,Ivory Coast,"82,309",799
巴貝多,Barbados,"81,518",463
蘇利南,Suriname,"80,547","1,350"
史瓦帝尼,Eswatini,"72,703","1,410"
蓋亞那,Guyana,"65,294","1,238"
斐濟,Fiji,"65,103",864
馬達加斯加,Madagascar,"64,377","1,395"
蘇丹,Sudan,"62,382","4,942"
貝里斯,Belize,"59,788",678
不丹,Bhutan,"59,636",21
茅利塔尼亞,Mauritania,"59,205",982
維德角,Cape Verde,"56,590",402
敘利亞,Syria,"55,898","3,150"
加彭,Gabon,"47,677",304
巴布亞紐幾內亞,Papua New Guinea,"44,425",651
塞席爾,Seychelles,"44,145",167
安道爾,Andorra,"42,894",153
蒲隆地,Burundi,"42,129",38
多哥,Togo,"37,131",273
幾內亞,Guinea,"36,597",442
坦尚尼亞,Tanzania,"35,354",840
巴哈馬,Bahamas,"35,070",810
賴索托,Lesotho,"32,910",697
馬利,Mali,"31,111",735
海地,Haiti,"30,892",835
貝南,Benin,"26,952",163
聖露西亞,Saint Lucia,"26,206",371
剛果共和國,Congo,"24,128",385
東帝汶,East Timor,"22,925",131
索羅門群島,Solomon islands,"21,237",149
布吉納法索,Burkina Faso,"20,853",382
索馬利亞,Somalia,"18,863",930
格瑞那達,Grenada,"17,866",230
塔吉克,Tajikistan,"17,786",125
南蘇丹,South Sudan,"17,626",138
列支敦斯登,Liechtenstein,"17,532",84
聖馬利諾,San Marino,"17,124",115
赤道幾內亞,Equatorial Guinea,"15,924",183
吉布地,Djibouti,"15,631",189
中非,Central Africa,"14,649",113
尼加拉瓜,Nicaragua,"14,538",239
多米尼克,Dominica,"14,295",67
薩摩亞,Samoa,"13,924",27
摩納哥,Monaco,"12,306",57
甘比亞,Gambia,"12,002",365
葉門,Yemen,"11,822","2,149"
東加,Tonga,"11,769",12
索馬利蘭,Somaliland,"10,190",619
厄利垂亞,Eritrea,"9,768",103
萬那杜,Vanuatu,"9,438",14
尼日,Niger,"9,031",310
安地卡及巴布達,Antigua and Barbuda,"8,378",138
幾內亞比索,Guinea-Bissau,"8,283",171
葛摩,Comoros,"8,100",160
獅子山,Sierra Leone,"7,682",125
賴比瑞亞,Liberia,"7,456",294
查德,Chad,"7,418",193
聖文森及格瑞那丁,Saint Vincent and the Grenadines,"6,923",108
聖多美普林西比,Sao Tome and Principe,"6,003",73
聖克里斯多福及尼維斯,Saint Kitts and Nevis,"5,809",43
庫克群島,Cook Islands,"5,697",1
帛琉,Palau,"5,083",6
吉里巴斯,Kiribati,"3,098",13
國際運輸工具(鑽石公主號),Int'l conveyance (Japan),741,13
澳門,Macao,83,0
密克羅尼西亞聯邦,Micronesia,34,0
教廷,Holy See,29,0
馬紹爾群島,Marshall Islands,18,0
紐埃,Niue,9,0
諾魯,Nauru,3,0
吐瓦魯,Tuvalu,3,0
北韓,North Korea,2,1